# spec/standards-claims.tsv — the register of every claim this repository makes
# about an EXTERNAL standard.
#
# Tab-separated, one row per ASSERTION; lines beginning with "#" are comments;
# the first non-comment line is the header row; every row carries exactly
# eleven fields and an empty cell is written `-`, never left blank. The gate is
# tools/standards-check.js (gate:standards), and it refuses to pass on a file
# that parses to nothing.
#
# WHY IT EXISTS. decisions/registry.md enumerated this list for the
# first time and the number changed under the enumeration: three known false
# claims about external standards became THIRTEEN, over about fifty sites, and
# one of the thirteen was written by the commit that fixed another. The failure
# was never care about any one document — it was that nobody held the list.
# Twenty-five gates ran on every change and not one had an external-standard
# claim in its denominator. This file is the denominator.
#
# VERDICTS ARE PER ASSERTION, NOT PER SENTENCE. "ISO/IEC 19505 is paywalled and
# is the older 2.4.1 text" is TWO claims; the second is true, the first was
# false, and a checker whose unit is the sentence returns VERIFIED on the pair.
# That happened during the audit, to an assistant holding the free PDF open.
#
# COLUMNS
#   id          `S<nnn>`, stable. Never reused; a withdrawn claim keeps its row.
#   standard    the standard's name token, as the harvest normalises it —
#               `ISO 5807`, `ISO/IEC 19505`, `UML`, `RFC 791`, `ITU-T Z.120`.
#   edition     the edition or part the claim is about, or `-`.
#   clause      the clause, table or annex the claim cites, or `-`. A clause
#               NUMBER is as much a claim as a quote: nine of them did not
#               resolve in the audit, and each one sends a reader to the wrong
#               page.
#   claim_kind  one of four — see below. This column is the mechanism.
#   claim       the assertion in one sentence, in the register's own words.
#   quote       the evidence, whose FORM is set by claim_kind (below).
#   sites       space-separated repo-relative locations, `file` or `file:line`.
#               A translation twin is never listed: this repository is
#               English only and carries none.
#   status      verified · corrected · weak · secondary · unverified · unread ·
#               open. There is no null.
#   verifier    who or what checked it, by name. `verified` must never mean
#               "someone said so".
#   checked     ISO date the row's verdict was recorded.
#
# claim_kind — THE FOUR THINGS THIS PROJECT ASSERTS ABOUT A STANDARD
#   wording       the standard SAYS X. `quote` is a verbatim span long enough to
#                 grep (16 chars), or a single backticked literal — a metaclass
#                 name, a keyword, a production — which is exact by construction
#                 and cannot be padded without falsifying it.
#   absence       the standard does NOT contain X. `quote` is the string whose
#                 absence is claimed, so a held source text can refute it.
#   structure     clause N is where X is, or is titled T. `quote` may be the
#                 clause title or `-`.
#   availability  the document can (or cannot) be OBTAINED. `quote` holds a
#                 RETRIEVAL RECORD — where it was fetched from and when — not a
#                 sentence from the text.
#
#   THE availability KIND IS WHY THIS REGISTER EXISTS RATHER THAN A QUOTATION
#   RULE. "ISO/IEC 19505 is paywalled, so a citation of it cannot be checked by
#   a reader of this repository" is not a claim about what the document says.
#   No quotation rule reaches it; it shipped for four releases, in seven live
#   places plus an eighth that had inspected it and filed it as "not testable
#   from the tree"; and it was false — OMG publishes the normative text free,
#   and only ISO's storefront resale is priced. An availability row must show
#   its retrieval record, and a row that says `NOT RETRIEVED` may not also say
#   `verified`. That single rule is the whole of the difference.
#
# status
#   verified    matched against the standard's own text by the named verifier.
#   corrected   the claim shipped FALSE and the row records the CORRECTED form,
#               with the correction's evidence. The false form is not deleted —
#               decisions/registry.md keeps it, because a deleted
#               error is an error that can be made again.
#   weak        partially verified: a related artefact was read (a schema, a PAR
#               filing) but not the ratified prose.
#   secondary   the tree prints a quote the project cannot check against the
#               source, because the source is not held. Every such site is
#               expected to carry its own PENDING VERIFICATION caveat.
#   unverified  the source is (or could be) held and this claim was not checked.
#   unread      the source text is not held at all: the claim stands on nothing
#               this repository can reach. `quote` MUST be `-` — you may not
#               print a verbatim quote from a text you have not read. This is
#               an honest register state, not an omission, and it is the largest
#               one: more than half of this project's external-standard claims
#               are here, and until this file existed the tree said so nowhere.
#   open        known false or known unresolved, still in the tree on purpose,
#               because the fix belongs to another owner. Counted and printed by
#               the gate on every run so it cannot go quiet.
#
# QUOTE-VERSUS-SOURCE IS CONDITIONAL. The standards themselves are not
# redistributable and a session-local path is not a citation, so the fetched
# texts live outside the repository: $FIGDOWN_STANDARDS_TEXT, or the gitignored
# standards-text/ at the repo root, one file per standard named by the slug of
# the `standard` column (`ISO 5807` -> iso-5807.txt). With the texts absent the
# gate prints SKIPPED and the exact count of rows it did not check. The presence
# of a row is always checkable; the match only sometimes.
id	standard	edition	clause	claim_kind	claim	quote	sites	status	verifier	checked
S001	UML	2.5.1	14.2.3.8	wording	UML 2.5.1 §14 defines a Transition between a source and a target vertex, and `transition` is taken from it	A Transition is a single directed arc originating from a single source Vertex and terminating on a single target Vertex	spec/vocabulary-sources.tsv:291 decisions/registry.md:262 conformance/ERROR-COVERAGE.md:173 spec/genres/experimental/statechart.md	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S002	UML	2.5.1	14.2.3.4	wording	UML 2.5.1 §14 is the source of the keyword `state`	A State models a situation in the execution of a StateMachine Behavior during which some invariant condition holds	spec/vocabulary-sources.tsv:292 decisions/registry.md:258	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S003	UML	2.5.1	-	wording	the note symbol is a rectangle with a folded top-right corner, and the metaclass behind `note` is UML's Comment	A Comment is shown as a rectangle with the upper right corner bent	spec/vocabulary-sources.tsv:192 spec/core.md:1913 decisions/registry.md editor/figdown.html	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S004	UML	2.5.1	-	absence	UML has no metaclass named `Note` anywhere in the document	Note [Class]	spec/vocabulary-sources.tsv:192 decisions/registry.md	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S005	UML	2.5.1	14.2.3.4, 14.5.8	structure	UML's grouping construct in a state machine is the composite State with its Regions, which is why `group` is not that word	Region [Class]	spec/vocabulary-sources.tsv:286 guide/expressing.md:52 tools/migrate-figdown.js:1095 spec/genres/experimental/statechart.md	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S006	UML	2.5.1	14.5.12, 14.2.3.8.1	wording	TransitionKind is `external | internal | local`, and `external` already names a transition that exits and re-enters its source	such that the State is never exited (and, thus, not re-entered)	spec/vocabulary-sources.tsv:287 editor/figdown.html spec/genres/experimental/statechart.md guide/expressing.md:58	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S007	UML	2.5.1	14.2.3.7	structure	UML defines an `initial` Pseudostate at §14.2.3.7	Pseudostate and PseudostateKind	spec/genres/experimental/statechart.md:550	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S008	UML	2.5.1	14.2.3.6	structure	FinalState is at §14.2.3.6; §14.2.3.2 is Regions. The tree cited §14.2.3.2 at four sites, one of them written by the commit that fixed an earlier false standards claim	FinalState is a special kind of State signifying that the enclosing Region has completed.	spec/genres/experimental/statechart.md:551 decisions/registry.md:161 decisions/registry.md:78	corrected	decisions/registry.md (FALSE #5)	2026-08-16
S009	UML	2.5.1	14.2.3.9.1	wording	UML's own default silently discards an event with no enabled transition (the ground of `STATECHART-TRANSITION-TOTALITY`)	the dispatched Event occurrence is discarded and the run-to-completion step is completed trivially	tools/capability-coverage.js	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S010	UML	2.5.1	-	wording	UML calls the atomic step `Action` and reserves `Activity` for the containing graph	An Action is the fundamental unit of behavior specification in UML	spec/vocabulary-sources.tsv:296	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S011	UML	2.5.1	-	wording	UML spells the branch node `DecisionNode`	`DecisionNode [Class]`	spec/vocabulary-sources.tsv:297	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S012	UML	2.5.1	-	wording	UML splits the terminator concept into `InitialNode` and `ActivityFinalNode`	`ActivityFinalNode`	spec/vocabulary-sources.tsv:298	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S013	UML	2.5.1	-	wording	UML calls the analogous connecting line a control flow	`ControlFlow [Class]`	spec/vocabulary-sources.tsv:290	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S014	UML	2.5.1	Annex A	structure	UML publishes Structure Diagrams as one of the two top-level diagram categories	there are two major kinds of diagram types: structure diagrams and behavior diagrams	spec/vocabulary-sources.tsv:305 spec/genres/bitfield.md:35	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
S015	UML	2.5.1	-	wording	UML's Timing Diagram is the same concept as the `timing` genre	Timing diagrams focus on conditions changing within and among Lifelines along a linear time axis	spec/vocabulary-sources.tsv:307 spec/genres/README.md:104	verified	decisions/registry.md (OMG UML 2.5.1)	2026-08-16
